species,value,year,type,Sp
angler,0.71,2002,lease_exvessel,Angler
angler,0.68,2003,lease_exvessel,Angler
angler,0.51,2004,lease_exvessel,Angler
angler,0.65,2005,lease_exvessel,Angler
angler,0.73,2006,lease_exvessel,Angler
angler,0.62,2007,lease_exvessel,Angler
angler,0.54,2008,lease_exvessel,Angler
angler,0.41,2009,lease_exvessel,Angler
angler,0.78,2010,lease_exvessel,Angler
angler,1,2011,lease_exvessel,Angler
angler,0.86,2012,lease_exvessel,Angler
angler,0.86,2013,lease_exvessel,Angler
angler,0.81,2014,lease_exvessel,Angler
angler,0.8,2015,lease_exvessel,Angler
angler,0.46,2016,lease_exvessel,Angler
angler,0.59,2017,lease_exvessel,Angler
common dab,0.7,2002,lease_exvessel,Cdab
common dab,0.47,2003,lease_exvessel,Cdab
common dab,0.21,2004,lease_exvessel,Cdab
common dab,0.22,2005,lease_exvessel,Cdab
common dab,0.25,2006,lease_exvessel,Cdab
common dab,0.21,2007,lease_exvessel,Cdab
common dab,0.23,2008,lease_exvessel,Cdab
common dab,0.29,2009,lease_exvessel,Cdab
common dab,0.94,2010,lease_exvessel,Cdab
common dab,0.72,2011,lease_exvessel,Cdab
common dab,0.73,2012,lease_exvessel,Cdab
common dab,0.47,2013,lease_exvessel,Cdab
common dab,0.39,2014,lease_exvessel,Cdab
common dab,0.35,2015,lease_exvessel,Cdab
common dab,0.41,2016,lease_exvessel,Cdab
common dab,0.45,2017,lease_exvessel,Cdab
Atlantic cod,1.48,2002,lease_exvessel,Cod
Atlantic cod,1.37,2003,lease_exvessel,Cod
Atlantic cod,1.22,2004,lease_exvessel,Cod
Atlantic cod,1.25,2005,lease_exvessel,Cod
Atlantic cod,1.25,2006,lease_exvessel,Cod
Atlantic cod,1.36,2007,lease_exvessel,Cod
Atlantic cod,1.49,2008,lease_exvessel,Cod
Atlantic cod,1.3,2009,lease_exvessel,Cod
Atlantic cod,1.43,2010,lease_exvessel,Cod
Atlantic cod,1.56,2011,lease_exvessel,Cod
Atlantic cod,1.6,2012,lease_exvessel,Cod
Atlantic cod,1.32,2013,lease_exvessel,Cod
Atlantic cod,1.28,2014,lease_exvessel,Cod
Atlantic cod,1.3,2015,lease_exvessel,Cod
Atlantic cod,1.26,2016,lease_exvessel,Cod
Atlantic cod,1.3,2017,lease_exvessel,Cod
Deep sea redfish,0.56,2011,lease_exvessel,Deep_redfish
Deep sea redfish,0.66,2012,lease_exvessel,Deep_redfish
Deep sea redfish,0.95,2013,lease_exvessel,Deep_redfish
Deep sea redfish,0.9,2014,lease_exvessel,Deep_redfish
Deep sea redfish,0.61,2015,lease_exvessel,Deep_redfish
Deep sea redfish,0.47,2016,lease_exvessel,Deep_redfish
Deep sea redfish,0.27,2017,lease_exvessel,Deep_redfish
haddock,1.04,2002,lease_exvessel,Haddock
haddock,0.69,2003,lease_exvessel,Haddock
haddock,0.46,2004,lease_exvessel,Haddock
haddock,0.55,2005,lease_exvessel,Haddock
haddock,0.54,2006,lease_exvessel,Haddock
haddock,0.39,2007,lease_exvessel,Haddock
haddock,0.37,2008,lease_exvessel,Haddock
haddock,0.36,2009,lease_exvessel,Haddock
haddock,0.86,2010,lease_exvessel,Haddock
haddock,1.14,2011,lease_exvessel,Haddock
haddock,1.26,2012,lease_exvessel,Haddock
haddock,1.56,2013,lease_exvessel,Haddock
haddock,1.41,2014,lease_exvessel,Haddock
haddock,1.19,2015,lease_exvessel,Haddock
haddock,1.02,2016,lease_exvessel,Haddock
haddock,1.03,2017,lease_exvessel,Haddock
Greenland halibut,0.77,2002,lease_exvessel,Halibut
Greenland halibut,0.53,2003,lease_exvessel,Halibut
Greenland halibut,0.24,2004,lease_exvessel,Halibut
Greenland halibut,0.17,2005,lease_exvessel,Halibut
Greenland halibut,0.26,2006,lease_exvessel,Halibut
Greenland halibut,0.24,2007,lease_exvessel,Halibut
Greenland halibut,0.21,2008,lease_exvessel,Halibut
Greenland halibut,0.15,2009,lease_exvessel,Halibut
Greenland halibut,0.56,2010,lease_exvessel,Halibut
Greenland halibut,0.78,2011,lease_exvessel,Halibut
Greenland halibut,0.7,2012,lease_exvessel,Halibut
Greenland halibut,0.78,2013,lease_exvessel,Halibut
Greenland halibut,0.85,2014,lease_exvessel,Halibut
Greenland halibut,0.49,2015,lease_exvessel,Halibut
Greenland halibut,0.39,2016,lease_exvessel,Halibut
Greenland halibut,0.41,2017,lease_exvessel,Halibut
ling,0.81,2002,lease_exvessel,Ling
ling,0.73,2003,lease_exvessel,Ling
ling,0.76,2004,lease_exvessel,Ling
ling,0.71,2005,lease_exvessel,Ling
ling,0.63,2006,lease_exvessel,Ling
ling,0.68,2007,lease_exvessel,Ling
ling,0.68,2008,lease_exvessel,Ling
ling,0.64,2009,lease_exvessel,Ling
ling,0.95,2010,lease_exvessel,Ling
ling,1.09,2011,lease_exvessel,Ling
ling,1.16,2012,lease_exvessel,Ling
ling,0.88,2013,lease_exvessel,Ling
ling,0.74,2014,lease_exvessel,Ling
ling,0.45,2015,lease_exvessel,Ling
ling,0.31,2016,lease_exvessel,Ling
ling,0.27,2017,lease_exvessel,Ling
long rough dab,0.71,2002,lease_exvessel,LRdab
long rough dab,0.44,2003,lease_exvessel,LRdab
long rough dab,0.23,2004,lease_exvessel,LRdab
long rough dab,0.22,2005,lease_exvessel,LRdab
long rough dab,0.23,2006,lease_exvessel,LRdab
long rough dab,0.25,2007,lease_exvessel,LRdab
long rough dab,0.28,2008,lease_exvessel,LRdab
long rough dab,0.22,2009,lease_exvessel,LRdab
long rough dab,0.74,2010,lease_exvessel,LRdab
long rough dab,0.86,2011,lease_exvessel,LRdab
long rough dab,0.58,2012,lease_exvessel,LRdab
long rough dab,0.48,2013,lease_exvessel,LRdab
long rough dab,0.39,2014,lease_exvessel,LRdab
lemon sole,0.47,2002,lease_exvessel,Lsole
lemon sole,0.37,2003,lease_exvessel,Lsole
lemon sole,0.37,2004,lease_exvessel,Lsole
lemon sole,0.65,2005,lease_exvessel,Lsole
lemon sole,0.78,2006,lease_exvessel,Lsole
lemon sole,0.63,2007,lease_exvessel,Lsole
lemon sole,0.57,2008,lease_exvessel,Lsole
lemon sole,0.57,2009,lease_exvessel,Lsole
lemon sole,0.64,2010,lease_exvessel,Lsole
lemon sole,0.58,2011,lease_exvessel,Lsole
lemon sole,0.79,2012,lease_exvessel,Lsole
lemon sole,0.74,2013,lease_exvessel,Lsole
lemon sole,0.78,2014,lease_exvessel,Lsole
lemon sole,0.64,2015,lease_exvessel,Lsole
lemon sole,0.55,2016,lease_exvessel,Lsole
lemon sole,0.67,2017,lease_exvessel,Lsole
European plaice,0.96,2002,lease_exvessel,Plaice
European plaice,0.98,2003,lease_exvessel,Plaice
European plaice,0.81,2004,lease_exvessel,Plaice
European plaice,0.94,2005,lease_exvessel,Plaice
European plaice,0.91,2006,lease_exvessel,Plaice
European plaice,0.85,2007,lease_exvessel,Plaice
European plaice,0.71,2008,lease_exvessel,Plaice
European plaice,0.57,2009,lease_exvessel,Plaice
European plaice,0.78,2010,lease_exvessel,Plaice
European plaice,0.85,2011,lease_exvessel,Plaice
European plaice,0.69,2012,lease_exvessel,Plaice
European plaice,0.56,2013,lease_exvessel,Plaice
European plaice,0.54,2014,lease_exvessel,Plaice
European plaice,0.45,2015,lease_exvessel,Plaice
European plaice,0.47,2016,lease_exvessel,Plaice
European plaice,0.43,2017,lease_exvessel,Plaice
redfish,0.66,2002,lease_exvessel,Redfish
redfish,0.65,2003,lease_exvessel,Redfish
redfish,0.45,2004,lease_exvessel,Redfish
redfish,0.28,2005,lease_exvessel,Redfish
redfish,0.31,2006,lease_exvessel,Redfish
redfish,0.35,2007,lease_exvessel,Redfish
redfish,0.26,2008,lease_exvessel,Redfish
redfish,0.24,2009,lease_exvessel,Redfish
redfish,0.62,2010,lease_exvessel,Redfish
redfish,0.75,2011,lease_exvessel,Redfish
redfish,0.77,2012,lease_exvessel,Redfish
redfish,0.97,2013,lease_exvessel,Redfish
redfish,0.9,2014,lease_exvessel,Redfish
redfish,0.61,2015,lease_exvessel,Redfish
redfish,0.49,2016,lease_exvessel,Redfish
redfish,0.42,2017,lease_exvessel,Redfish
saithe,0.96,2002,lease_exvessel,Saithe
saithe,0.81,2003,lease_exvessel,Saithe
saithe,0.63,2004,lease_exvessel,Saithe
saithe,0.48,2005,lease_exvessel,Saithe
saithe,0.34,2006,lease_exvessel,Saithe
saithe,0.34,2007,lease_exvessel,Saithe
saithe,0.22,2008,lease_exvessel,Saithe
saithe,0.21,2009,lease_exvessel,Saithe
saithe,0.62,2010,lease_exvessel,Saithe
saithe,0.84,2011,lease_exvessel,Saithe
saithe,0.84,2012,lease_exvessel,Saithe
saithe,0.83,2013,lease_exvessel,Saithe
saithe,0.82,2014,lease_exvessel,Saithe
saithe,0.48,2015,lease_exvessel,Saithe
saithe,0.24,2016,lease_exvessel,Saithe
saithe,0.27,2017,lease_exvessel,Saithe
tusk,0.6,2002,lease_exvessel,Tusk
tusk,0.56,2003,lease_exvessel,Tusk
tusk,0.74,2004,lease_exvessel,Tusk
tusk,0.67,2005,lease_exvessel,Tusk
tusk,0.63,2006,lease_exvessel,Tusk
tusk,0.56,2007,lease_exvessel,Tusk
tusk,0.47,2008,lease_exvessel,Tusk
tusk,0.46,2009,lease_exvessel,Tusk
tusk,0.73,2010,lease_exvessel,Tusk
tusk,0.8,2011,lease_exvessel,Tusk
tusk,0.7,2012,lease_exvessel,Tusk
tusk,0.64,2013,lease_exvessel,Tusk
tusk,0.66,2014,lease_exvessel,Tusk
tusk,0.58,2015,lease_exvessel,Tusk
tusk,0.58,2016,lease_exvessel,Tusk
tusk,0.36,2017,lease_exvessel,Tusk
witch flounder,0.76,2002,lease_exvessel,Witch
witch flounder,0.81,2003,lease_exvessel,Witch
witch flounder,0.68,2004,lease_exvessel,Witch
witch flounder,0.83,2005,lease_exvessel,Witch
witch flounder,0.85,2006,lease_exvessel,Witch
witch flounder,0.53,2007,lease_exvessel,Witch
witch flounder,0.38,2008,lease_exvessel,Witch
witch flounder,0.34,2009,lease_exvessel,Witch
witch flounder,0.72,2010,lease_exvessel,Witch
witch flounder,0.78,2011,lease_exvessel,Witch
witch flounder,0.76,2012,lease_exvessel,Witch
witch flounder,0.71,2013,lease_exvessel,Witch
witch flounder,0.78,2014,lease_exvessel,Witch
witch flounder,0.67,2015,lease_exvessel,Witch
witch flounder,0.49,2016,lease_exvessel,Witch
witch flounder,0.45,2017,lease_exvessel,Witch
Atlantic wolffish,0.61,2002,lease_exvessel,Wolffish
Atlantic wolffish,0.6,2003,lease_exvessel,Wolffish
Atlantic wolffish,0.39,2004,lease_exvessel,Wolffish
Atlantic wolffish,0.43,2005,lease_exvessel,Wolffish
Atlantic wolffish,0.55,2006,lease_exvessel,Wolffish
Atlantic wolffish,0.75,2007,lease_exvessel,Wolffish
Atlantic wolffish,0.71,2008,lease_exvessel,Wolffish
Atlantic wolffish,0.56,2009,lease_exvessel,Wolffish
Atlantic wolffish,0.84,2010,lease_exvessel,Wolffish
Atlantic wolffish,0.88,2011,lease_exvessel,Wolffish
Atlantic wolffish,0.93,2012,lease_exvessel,Wolffish
Atlantic wolffish,0.98,2013,lease_exvessel,Wolffish
Atlantic wolffish,1.03,2014,lease_exvessel,Wolffish
Atlantic wolffish,0.8,2015,lease_exvessel,Wolffish
Atlantic wolffish,0.6,2016,lease_exvessel,Wolffish
Atlantic wolffish,0.41,2017,lease_exvessel,Wolffish
greater argentine,0.57,2014,lease_exvessel,argentine
greater argentine,0.23,2015,lease_exvessel,argentine
greater argentine,0.37,2016,lease_exvessel,argentine
greater argentine,0.13,2017,lease_exvessel,argentine
blue ling,0.55,2014,lease_exvessel,Blue_ling
blue ling,0.24,2015,lease_exvessel,Blue_ling
blue ling,0.15,2016,lease_exvessel,Blue_ling
blue ling,0.06,2017,lease_exvessel,Blue_ling
angler,0.83,2002,lease_cv,Angler
angler,1.01,2003,lease_cv,Angler
angler,1.22,2004,lease_cv,Angler
angler,1.46,2005,lease_cv,Angler
angler,1.79,2006,lease_cv,Angler
angler,1.65,2007,lease_cv,Angler
angler,1.51,2008,lease_cv,Angler
angler,1.4,2009,lease_cv,Angler
angler,1.07,2010,lease_cv,Angler
angler,1,2011,lease_cv,Angler
angler,1,2012,lease_cv,Angler
angler,0.96,2013,lease_cv,Angler
angler,0.53,2014,lease_cv,Angler
angler,1.23,2015,lease_cv,Angler
angler,1.1,2016,lease_cv,Angler
angler,1.14,2017,lease_cv,Angler
common dab,0.91,2002,lease_cv,Cdab
common dab,0.87,2003,lease_cv,Cdab
common dab,0.57,2004,lease_cv,Cdab
common dab,0.5,2005,lease_cv,Cdab
common dab,0.43,2006,lease_cv,Cdab
common dab,0.44,2007,lease_cv,Cdab
common dab,0.59,2008,lease_cv,Cdab
common dab,0.69,2009,lease_cv,Cdab
common dab,0.93,2010,lease_cv,Cdab
common dab,0.91,2011,lease_cv,Cdab
common dab,0.77,2012,lease_cv,Cdab
common dab,0.48,2013,lease_cv,Cdab
common dab,0.48,2014,lease_cv,Cdab
common dab,0.48,2015,lease_cv,Cdab
common dab,0.76,2016,lease_cv,Cdab
common dab,1.03,2017,lease_cv,Cdab
Atlantic cod,1,2002,lease_cv,Cod
Atlantic cod,1,2003,lease_cv,Cod
Atlantic cod,1,2004,lease_cv,Cod
Atlantic cod,1,2005,lease_cv,Cod
Atlantic cod,1,2006,lease_cv,Cod
Atlantic cod,1,2007,lease_cv,Cod
Atlantic cod,1,2008,lease_cv,Cod
Atlantic cod,1,2009,lease_cv,Cod
Atlantic cod,1,2010,lease_cv,Cod
Atlantic cod,1,2011,lease_cv,Cod
Atlantic cod,1,2012,lease_cv,Cod
Atlantic cod,1,2013,lease_cv,Cod
Atlantic cod,1,2014,lease_cv,Cod
Atlantic cod,1,2015,lease_cv,Cod
Atlantic cod,1,2016,lease_cv,Cod
Atlantic cod,1,2017,lease_cv,Cod
Deep sea redfish,0.99,2011,lease_cv,Deep_redfish
Deep sea redfish,0.98,2012,lease_cv,Deep_redfish
Deep sea redfish,0.7,2013,lease_cv,Deep_redfish
Deep sea redfish,0.94,2014,lease_cv,Deep_redfish
Deep sea redfish,1.05,2015,lease_cv,Deep_redfish
Deep sea redfish,0.84,2016,lease_cv,Deep_redfish
Deep sea redfish,0.55,2017,lease_cv,Deep_redfish
haddock,1.18,2002,lease_cv,Haddock
haddock,0.87,2003,lease_cv,Haddock
haddock,0.81,2004,lease_cv,Haddock
haddock,1.23,2005,lease_cv,Haddock
haddock,1.16,2006,lease_cv,Haddock
haddock,1.02,2007,lease_cv,Haddock
haddock,1.04,2008,lease_cv,Haddock
haddock,1.01,2009,lease_cv,Haddock
haddock,1.22,2010,lease_cv,Haddock
haddock,1.16,2011,lease_cv,Haddock
haddock,1.27,2012,lease_cv,Haddock
haddock,1.76,2013,lease_cv,Haddock
haddock,1.66,2014,lease_cv,Haddock
haddock,1.72,2015,lease_cv,Haddock
haddock,1.82,2016,lease_cv,Haddock
haddock,2.29,2017,lease_cv,Haddock
Greenland halibut,0.82,2002,lease_cv,Halibut
Greenland halibut,0.81,2003,lease_cv,Halibut
Greenland halibut,0.8,2004,lease_cv,Halibut
Greenland halibut,0.39,2005,lease_cv,Halibut
Greenland halibut,0.48,2006,lease_cv,Halibut
Greenland halibut,0.45,2007,lease_cv,Halibut
Greenland halibut,0.59,2008,lease_cv,Halibut
Greenland halibut,0.64,2009,lease_cv,Halibut
Greenland halibut,0.66,2010,lease_cv,Halibut
Greenland halibut,0.8,2011,lease_cv,Halibut
Greenland halibut,0.75,2012,lease_cv,Halibut
Greenland halibut,0.65,2013,lease_cv,Halibut
Greenland halibut,0.78,2014,lease_cv,Halibut
Greenland halibut,0.72,2015,lease_cv,Halibut
Greenland halibut,0.76,2016,lease_cv,Halibut
Greenland halibut,0.77,2017,lease_cv,Halibut
ling,1.04,2002,lease_cv,Ling
ling,0.97,2003,lease_cv,Ling
ling,1.14,2004,lease_cv,Ling
ling,1.29,2005,lease_cv,Ling
ling,1.34,2006,lease_cv,Ling
ling,1.73,2007,lease_cv,Ling
ling,1.58,2008,lease_cv,Ling
ling,1.39,2009,lease_cv,Ling
ling,1.1,2010,lease_cv,Ling
ling,1.23,2011,lease_cv,Ling
ling,1.13,2012,lease_cv,Ling
ling,0.9,2013,lease_cv,Ling
ling,0.74,2014,lease_cv,Ling
ling,0.6,2015,lease_cv,Ling
ling,0.62,2016,lease_cv,Ling
ling,0.59,2017,lease_cv,Ling
long rough dab,0.81,2002,lease_cv,LRdab
long rough dab,0.68,2003,lease_cv,LRdab
long rough dab,0.6,2004,lease_cv,LRdab
long rough dab,0.47,2005,lease_cv,LRdab
long rough dab,0.47,2006,lease_cv,LRdab
long rough dab,0.44,2007,lease_cv,LRdab
long rough dab,0.9,2008,lease_cv,LRdab
long rough dab,0.71,2009,lease_cv,LRdab
long rough dab,0.82,2010,lease_cv,LRdab
long rough dab,0.84,2011,lease_cv,LRdab
long rough dab,0.44,2012,lease_cv,LRdab
long rough dab,0.4,2013,lease_cv,LRdab
long rough dab,0.46,2014,lease_cv,LRdab
lemon sole,0.78,2002,lease_cv,Lsole
lemon sole,0.69,2003,lease_cv,Lsole
lemon sole,0.93,2004,lease_cv,Lsole
lemon sole,1.31,2005,lease_cv,Lsole
lemon sole,1.61,2006,lease_cv,Lsole
lemon sole,1.86,2007,lease_cv,Lsole
lemon sole,1.75,2008,lease_cv,Lsole
lemon sole,1.46,2009,lease_cv,Lsole
lemon sole,0.82,2010,lease_cv,Lsole
lemon sole,0.88,2011,lease_cv,Lsole
lemon sole,1.03,2012,lease_cv,Lsole
lemon sole,0.78,2013,lease_cv,Lsole
lemon sole,0.92,2014,lease_cv,Lsole
lemon sole,0.98,2015,lease_cv,Lsole
lemon sole,1.28,2016,lease_cv,Lsole
lemon sole,1.71,2017,lease_cv,Lsole
European plaice,1.36,2002,lease_cv,Plaice
European plaice,1.64,2003,lease_cv,Plaice
European plaice,2.23,2004,lease_cv,Plaice
European plaice,2.3,2005,lease_cv,Plaice
European plaice,1.76,2006,lease_cv,Plaice
European plaice,2.03,2007,lease_cv,Plaice
European plaice,2.05,2008,lease_cv,Plaice
European plaice,1.51,2009,lease_cv,Plaice
European plaice,0.95,2010,lease_cv,Plaice
European plaice,0.93,2011,lease_cv,Plaice
European plaice,0.76,2012,lease_cv,Plaice
European plaice,0.53,2013,lease_cv,Plaice
European plaice,0.68,2014,lease_cv,Plaice
European plaice,0.76,2015,lease_cv,Plaice
European plaice,0.92,2016,lease_cv,Plaice
European plaice,1.03,2017,lease_cv,Plaice
redfish,0.93,2002,lease_cv,Redfish
redfish,1.22,2003,lease_cv,Redfish
redfish,1.29,2004,lease_cv,Redfish
redfish,0.81,2005,lease_cv,Redfish
redfish,0.95,2006,lease_cv,Redfish
redfish,0.9,2007,lease_cv,Redfish
redfish,0.76,2008,lease_cv,Redfish
redfish,1.05,2009,lease_cv,Redfish
redfish,0.99,2010,lease_cv,Redfish
redfish,1.02,2011,lease_cv,Redfish
redfish,1.05,2012,lease_cv,Redfish
redfish,1.12,2013,lease_cv,Redfish
redfish,1.05,2014,lease_cv,Redfish
redfish,1.11,2015,lease_cv,Redfish
redfish,1.05,2016,lease_cv,Redfish
redfish,0.95,2017,lease_cv,Redfish
saithe,1.14,2002,lease_cv,Saithe
saithe,1.17,2003,lease_cv,Saithe
saithe,1.21,2004,lease_cv,Saithe
saithe,0.96,2005,lease_cv,Saithe
saithe,0.8,2006,lease_cv,Saithe
saithe,0.86,2007,lease_cv,Saithe
saithe,0.69,2008,lease_cv,Saithe
saithe,0.65,2009,lease_cv,Saithe
saithe,0.93,2010,lease_cv,Saithe
saithe,0.93,2011,lease_cv,Saithe
saithe,0.91,2012,lease_cv,Saithe
saithe,0.77,2013,lease_cv,Saithe
saithe,0.8,2014,lease_cv,Saithe
saithe,0.74,2015,lease_cv,Saithe
saithe,0.49,2016,lease_cv,Saithe
saithe,0.47,2017,lease_cv,Saithe
tusk,0.78,2002,lease_cv,Tusk
tusk,0.94,2003,lease_cv,Tusk
tusk,1.28,2004,lease_cv,Tusk
tusk,1.25,2005,lease_cv,Tusk
tusk,1.44,2006,lease_cv,Tusk
tusk,1.58,2007,lease_cv,Tusk
tusk,1.51,2008,lease_cv,Tusk
tusk,1.23,2009,lease_cv,Tusk
tusk,0.88,2010,lease_cv,Tusk
tusk,1.04,2011,lease_cv,Tusk
tusk,0.82,2012,lease_cv,Tusk
tusk,0.75,2013,lease_cv,Tusk
tusk,0.7,2014,lease_cv,Tusk
tusk,0.91,2015,lease_cv,Tusk
tusk,1.06,2016,lease_cv,Tusk
tusk,0.7,2017,lease_cv,Tusk
witch flounder,0.99,2002,lease_cv,Witch
witch flounder,1.4,2003,lease_cv,Witch
witch flounder,1.95,2004,lease_cv,Witch
witch flounder,1.54,2005,lease_cv,Witch
witch flounder,1.57,2006,lease_cv,Witch
witch flounder,1.38,2007,lease_cv,Witch
witch flounder,1.38,2008,lease_cv,Witch
witch flounder,1.12,2009,lease_cv,Witch
witch flounder,0.82,2010,lease_cv,Witch
witch flounder,0.88,2011,lease_cv,Witch
witch flounder,0.89,2012,lease_cv,Witch
witch flounder,0.73,2013,lease_cv,Witch
witch flounder,0.85,2014,lease_cv,Witch
witch flounder,0.93,2015,lease_cv,Witch
witch flounder,1.02,2016,lease_cv,Witch
witch flounder,1.02,2017,lease_cv,Witch
Atlantic wolffish,0.84,2002,lease_cv,Wolffish
Atlantic wolffish,1.09,2003,lease_cv,Wolffish
Atlantic wolffish,0.91,2004,lease_cv,Wolffish
Atlantic wolffish,1.07,2005,lease_cv,Wolffish
Atlantic wolffish,1.16,2006,lease_cv,Wolffish
Atlantic wolffish,1.94,2007,lease_cv,Wolffish
Atlantic wolffish,2.32,2008,lease_cv,Wolffish
Atlantic wolffish,1.82,2009,lease_cv,Wolffish
Atlantic wolffish,1.23,2010,lease_cv,Wolffish
Atlantic wolffish,1.03,2011,lease_cv,Wolffish
Atlantic wolffish,0.98,2012,lease_cv,Wolffish
Atlantic wolffish,1.03,2013,lease_cv,Wolffish
Atlantic wolffish,0.39,2014,lease_cv,Wolffish
Atlantic wolffish,1.05,2015,lease_cv,Wolffish
Atlantic wolffish,1.04,2016,lease_cv,Wolffish
Atlantic wolffish,0.86,2017,lease_cv,Wolffish
greater argentine,0.64,2014,lease_cv,argentine
greater argentine,0.32,2015,lease_cv,argentine
greater argentine,0.54,2016,lease_cv,argentine
greater argentine,0.24,2017,lease_cv,argentine
blue ling,0.55,2014,lease_cv,Blue_ling
blue ling,0.32,2015,lease_cv,Blue_ling
blue ling,0.3,2016,lease_cv,Blue_ling
blue ling,0.15,2017,lease_cv,Blue_ling